"ID_outbreak","OCV_before_1","OCV_before_2","OCV_before_3","OCV_during","OCV_after_1","spatial_scale","Num_doses","Target_pop","Start_date"
"AFR::CMR::South-2021-12-06-2022-02-27",NA,NA,NA,NA,NA,"smaller",NA,"301",""
"AFR::CMR::South-West-2019-11-11-2020-01-12",NA,NA,NA,NA,NA,"smaller",NA,"301",""
"AFR::CMR::South-West-2021-11-15-2022-01-09",NA,NA,NA,NA,NA,"smaller",NA,"301",""
"AFR::CMR::South-West::Buea Health District-2011-02-14-2011-09-18",NA,NA,NA,NA,NA,"same",NA,"301",""
"AFR::CMR::South-West::Buea Health District-2019-11-11-2020-01-12",NA,NA,NA,NA,NA,"same",NA,"301",""
"AFR::CMR::South-West::Kumba Health District-2011-01-03-2011-10-09",NA,NA,NA,NA,NA,"same",NA,"301",""
"AFR::CMR::South-West::Muyuka Health District-2011-01-03-2011-06-26",NA,NA,NA,NA,NA,"same",NA,"301",""
"AFR::CMR::South-West::Tiko Health District-2011-01-31-2011-12-18",NA,NA,NA,NA,NA,"same",NA,"301",""
"AFR::CMR::South-West::Tombel Health District-2010-11-15-2011-01-30",NA,NA,NA,NA,NA,"same",NA,"301",""
"AFR::MWI::Central::Dedza-2018-01-29-2018-03-25",NA,NA,NA,NA,NA,"same",NA,"974",""
"AFR::MWI::Central::Lilongwe-2018-01-15-2018-05-06",NA,NA,NA,NA,NA,"same",NA,"974",""
"AFR::MWI::Central::Lilongwe-2022-10-31-2023-02-12",NA,NA,NA,NA,NA,"same",NA,"974",""
"AFR::MWI::Central::Nkhotakota-2022-08-08-2023-02-12",NA,NA,NA,NA,NA,"same",NA,"974",""
"AFR::MWI::Central::Salima-2018-01-29-2018-04-01",NA,NA,NA,NA,NA,"same",NA,"974",""
"AFR::MWI::Central::Salima-2022-10-17-2023-02-12",NA,NA,NA,NA,NA,"same",NA,"974",""
"EMR::SOM::Lower Juba::Afmadow-2016-04-04-2016-07-17",FALSE,FALSE,FALSE,FALSE,FALSE,"same",99105,"104933","2018-02-11"
"EMR::SOM::Lower Juba::Afmadow-2016-04-04-2016-07-17",FALSE,FALSE,FALSE,FALSE,FALSE,"same",94919,"104933","2018-03-01"
